screen_name,tweets,tweet_location
YBGDEMS,Free Subscription for 1 Year Jeeves and Porter Concierge to all #DMZ Clients in 2015 #Concierge https://t.co/x5NPdfBZ99,"Washed, FL"
caseymagnesium,"Daniel Purvis in 8th on floor, Paul Ruggeri 8th on vault.  Will Draggy bump them from the finals?","Wellington, FL"
MDB_Beats,"gooooooooooo check out now the hottest beats everrrrrrrrr
https://t.co/ZQT5i39J6p","West Kendall, Fl"
Phoreign,The part 6 months in a clip https://t.co/6C0CfIhgM4,"West Palm Beach, FL"
asapmartins,Photos : See how Rooney celebrated his 30th birthday at the Hilton Hotel in Liverpool https://t.co/fp4oW3SVen via @OkGist,"West Palm Beach, FL"
sweetsuga_,3 people followed me and one person unfollowed me // automatically checked by https://t.co/66nDLnBHJ7,"West Palm Beach, FL USA"
55002koyli,Engineers Update - Engine News and a Colour change -  https://t.co/y2x1COb75c,"West Palm Beach, Florida"
GamsizYoutube,"Hadise Select Shaquille O' Neal | The Voice Turkey
https://t.co/EJONSnECnN     
#FACup","Winter Park, FL"
itutorial_yt,"dcseifert: if you're in the market for a chromebook, looks like dell's new chromebook 13 is the one to get https://t.co/kDHh8NXKaO","Winter Park, Florida"
FoxHoundKnight,@NFL @Chargers that was ALL in garbage time lmao Raiders weren't even trying in the 4th,"Winter Park, Orlando, FL"
WeedyKW,"@ABkhtr lol, stop coming to twitter, CLOSE YOUR EYES, put your phone away and count sheeps BACKWARDS to sleeeep","Winter Park, Orlando, FL"
OrangeKing26,@gwallaman wana experiment with the dog and shit Llf ..... https://t.co/GmMYzhLOdJ,"ZooVille, FL"
